Date,Close,High,Low,Open,Volume,RSI_6,RSI_14,RSI_23,Stoch_K,Stoch_D,HV_20,VIX,VIX_chg_5d,VIX_vs_ma20,SOX_RS_5d,SOX_RS_20d,Days_to_earnings,price_vs_ma20,price_vs_ma50,price_vs_ma200,price_vs_ema8,price_vs_ema21,price_vs_ema89,price_vs_kc_upper,price_vs_kc_mid,price_vs_kc_lower,MACD_norm,MACD_signal_norm,MACD_hist_norm,OBV_chg_5d,target
2018-01-02,10.979999542236328,11.020000457763672,10.34000015258789,10.420000076293944,44146300,,,,,,,9.770000457763672,,,,,847,,,,,,,-0.04188488646504851,,0.08712869492152975,,,,,1
2018-01-03,11.550000190734863,12.140000343322754,11.359999656677246,11.609999656677246,154066700,,,,,,,9.149999618530273,,,,,846,,,,,,,-0.034415522643997054,,0.09982548864156571,,,,,1
2018-01-04,12.119999885559082,12.43000030517578,11.970000267028809,12.100000381469728,109503000,,,,,,,9.220000267028809,,,,,845,,,,,,,-0.005379820370444599,,0.11136017843844392,,,,,1
2018-01-05,11.880000114440918,12.220000267028809,11.65999984741211,12.1899995803833,63808900,,,,,,,9.220000267028809,,,,,844,,,,,,,-0.030929262722263595,,0.07812149248541322,,,,,1
2018-01-08,12.279999732971191,12.300000190734863,11.850000381469728,12.010000228881836,63346000,,,,,,,9.520000457763672,,,,,841,,,,,,,-0.003731997934175224,,0.10095032384456926,,,,,0
2018-01-09,11.81999969482422,12.020000457763672,11.710000038146973,12.0,62560900,59.95088537052919,,,,,,10.079999923706055,0.03172972890661874,,0.049423463437663795,,840,,,,,,,-0.0388942124011723,,0.05363243799624451,,,,4.542756697616788,1
2018-01-10,11.960000038146973,12.149999618530272,11.5600004196167,11.630000114440918,52561200,63.8338952158346,,,,,,9.819999694824219,0.07322405510674379,,0.03827675585317247,,839,,,,,,,-0.02955837605992062,,0.0650044604079516,,,,0.4996665203594113,1
2018-01-11,12.140000343322754,12.1899995803833,11.899999618530272,12.06999969482422,38354900,68.53998194376695,,,,,,9.880000114440918,0.07158349547692566,,0.003851794337880743,,838,,,,0.02626153588544966,,,-0.015376281187028717,,0.07437593464057257,,,,0.09064299548934729,0
2018-01-12,12.020000457763672,12.06999969482422,11.800000190734863,11.81999969482422,47149300,62.07774390070306,,,,,,10.15999984741211,0.10195222919296287,,0.014507598748797146,,837,,,,0.012490924700377937,,,-0.024262620176768834,,0.0596532859063843,,,,0.18265929938078873,0
2018-01-16,11.90999984741211,12.199999809265137,11.800000190734863,12.050000190734863,42686600,56.24444645688405,,,,,,11.65999984741211,0.2247898410449385,,-0.022964592655895344,,833,,,,0.002506653251914903,,,-0.033593004861334874,,0.04786202681505736,,,,-0.20009789974454284,0
