Date,Close,High,Low,Open,Volume,RSI_6,RSI_14,RSI_23,Stoch_K,Stoch_D,HV_20,VIX,VIX_chg_5d,VIX_vs_ma20,SOX_RS_5d,SOX_RS_20d,Days_to_earnings,price_vs_ma20,price_vs_ma50,price_vs_ma200,price_vs_ema8,price_vs_ema21,price_vs_ema89,price_vs_kc_upper,price_vs_kc_mid,price_vs_kc_lower,MACD_norm,MACD_signal_norm,MACD_hist_norm,OBV_chg_5d,target
2018-01-02,4.928265571594238,4.9319741433273965,4.808365773535016,4.840009108801232,355616000,,,,,,,9.770000457763672,,,,,45,,,,,,,-0.016931085348919628,,0.03406237351468966,,,,,1
2018-01-03,5.252615451812744,5.283023390776195,5.037042459513838,5.045695010065558,914704000,,,,,,,9.149999618530273,,,,,45,,,,,,,0.005283500101388672,,0.08180459206747082,,,,,1
2018-01-04,5.280303478240967,5.390562431990464,5.258053928384344,5.333949761815287,583268000,,,,,,,9.220000267028809,,,,,45,,,,,,,-0.0032252522490090474,,0.06400733574781436,,,,,1
2018-01-05,5.32504940032959,5.362378902130493,5.2182514813558765,5.295136099778255,580124000,,,,,,,9.220000267028809,,,,,45,,,,,,,-0.0017803649923203713,,0.06257992383033173,,,,,1
2018-01-08,5.488212585449219,5.562377429227488,5.403664210874558,5.448657939230332,881216000,,,,,,,9.520000457763672,,,,,45,,,,,,,0.01702679055558476,,0.08155865391769801,,,,,1
2018-01-09,5.486728191375732,5.533204868930787,5.405146688959202,5.493650229669954,497000000,99.56465445549676,,,,,,10.079999923706055,0.03172972890661874,,0.08623900259768424,,45,,,,,,,0.010300294821127043,,0.07167043282060481,,,,6.924075407180779,1
2018-01-10,5.5297441482543945,5.533205167588315,5.339881775248777,5.394269289285893,582664000,99.62189550259932,,,,,,9.819999694824219,0.07322405510674379,,0.05553906841030387,,45,,,,,,,0.012093879452447887,,0.07543623098529606,,,,1.6769569872158194,1
2018-01-11,5.539633274078369,5.593773709416241,5.518124971293101,5.562376981636238,406032000,99.63513040375872,,,,,,9.880000114440918,0.07158349547692566,,0.05131426032649278,,45,,,,0.031167427438554718,,,0.010148569021830589,,0.06870794819924098,,,,1.053651620532718,0
2018-01-12,5.512440204620361,5.56213083346744,5.471896759438468,5.527767713884781,359916000,89.31862812461029,,,,,,10.15999984741211,0.10195222919296287,,0.03791349308406644,,45,,,,0.02018725277507949,,,0.0027165571886458295,,0.05797892441890817,,,,0.41623495302648794,0
2018-01-16,5.441489219665527,5.624429605641397,5.356941303063626,5.538892893454774,702348000,67.4514509408092,,,,,,11.65999984741211,0.2247898410449385,,-0.0013477112139814729,,45,,,,0.0054796833093424535,,,-0.014568015937887924,,0.044432794769319495,,,,-0.1721207821105013,0
2018-01-17,5.555455207824707,5.565343633291384,5.362131798241989,5.456073962053945,538408000,77.8866917825961,,,,,,11.90999984741211,0.1815476128528808,,-0.019018668339835676,,45,,,,0.020519921337110114,,,0.0031708301769477476,,0.06480040501060547,,,,0.16495808267634948,0
2018-01-18,5.548533439636231,5.602920961181686,5.505023139482716,5.536172317788228,408632000,76.10830617008271,,,,,,12.220000267028809,0.24439925120054196,,-0.04585884295298959,,45,,,,0.014907224091122329,,,0.00023275792138077733,,0.0594649911714098,,,,-0.1548130443169895,0
2018-01-19,5.6887054443359375,5.712932584000922,5.611821290895013,5.638767736018307,609380000,84.63424311035531,,,,,,11.270000457763672,0.1406882922289734,,-0.01698268636881517,,45,,,,0.03125471801030155,,,0.022311550412568604,,0.08094416584550745,,,,-0.08488046100691848,0
2018-01-22,5.77720832824707,5.778938838020236,5.639014155824704,5.696615611786597,550944000,87.90458604461978,88.32533705888412,,99.82170226678576,,,11.029999732971191,0.08562991128200492,,0.00241415273673784,,45,,,,0.03640516581127451,,,0.03413977606743668,,0.09287986256320147,,,,0.17052561458644022,0
2018-01-23,5.906256675720215,5.929000387141968,5.812066947907038,5.830607924745259,475228000,91.18670279219856,90.32901101924227,,97.45013629933956,,,11.100000381469727,-0.048027399079827005,,0.03496571164951012,,45,,,,0.04571618614464512,,,0.05205615203252156,,0.11057923747880283,,,,0.643256715591249,0
2018-01-24,5.829370975494385,5.945315597878204,5.773747112158568,5.909469055780841,579972000,76.3706033841832,81.36879653328883,,84.05304019975542,93.77495958862691,,11.470000267028809,-0.03694370999332186,,0.05195178294316227,,45,,,,0.024792438063274913,,,0.033676780855613764,,0.09150759161955935,,,,0.19707393272994,0
2018-01-25,5.842968463897705,5.927022204115733,5.828135589602928,5.883758986090487,409884000,77.15824071271186,81.7142595084887,,85.9232313004192,89.1421359331714,,11.579999923706055,-0.052373185706841574,,0.07709939479158756,,45,,,,0.021015271821931414,,,0.03258235035667312,,0.08893829136988685,,,,0.5098798386715173,0
2018-01-26,6.015525817871094,6.01577289884531,5.87387061742999,5.886725901017889,516356000,84.84902066973558,85.41118077817652,,99.96344367227346,89.9799050574827,,11.079999923706055,-0.016858964182803526,,0.050716206989473545,,45,,,,0.039350192057866495,,,0.058383469189263515,,0.1157746752060671,,,,0.3939812534232654,0
2018-01-29,6.102546215057373,6.133695865743513,5.948283276709119,6.000940289789049,455116000,87.41357577601995,86.85454382861573,,96.07595140233325,93.98754212500864,,13.84000015258789,0.25475979035765217,,0.05920028734796645,,45,,,,0.04179463849562293,,,0.06812315120417933,,0.12658415027528136,,,,0.31642698155391313,0
2018-01-30,6.0004472732543945,6.091917715966181,5.8938968703990655,5.960645533605336,570832000,70.59069981184162,77.20344063884684,,83.21413110643167,93.0845087270128,,14.789999961853027,0.3324323832045415,0.3521049381937571,0.046402950385699415,,45,0.07101597161392537,,,0.018848380890594596,,,0.045858562014656545,,0.10385839966159849,,,,0.051123714101729334,0
2018-01-31,6.076587677001953,6.162371919159621,6.043213359273636,6.075845962626409,478576000,74.91155984049458,79.07114645916829,,89.34926976410797,89.5464507576243,0.29562490750862663,13.539999961853027,0.18047076256611394,0.2168598819223153,0.041806212280633526,0.17569582522136074,45,0.0736037562560965,,,0.024541886959241532,0.07283032266316569,,0.054962811669649,0.08302069955688651,0.11261182592504038,,,,0.328038972790909,0
2018-02-01,5.945563793182373,6.1037828642728975,5.885243022828691,5.896614878578263,519224000,57.47437706817187,68.64824601805186,,73.08171285713736,81.88170457589233,0.24232808506017137,13.470000267028809,0.16321246595637962,0.18751654537278295,0.004513246199894683,0.09740932838658711,45,0.04406342964813348,,,0.0019050084556633262,0.04497667493794433,,0.022213269099486066,0.04996729945418554,0.07927048571376027,,,,0.08295511107014475,0
2018-02-02,5.773006916046143,5.883018795366627,5.714911284864153,5.859038734011418,718464000,42.01752640403144,57.83559368803799,62.97003916432091,51.65753631259136,71.36283964461224,0.2734356553969915,17.309999465942383,0.5622743307883082,0.4735049508178446,0.005504683520978548,0.09274790860048476,45,0.009395118444968098,,,-0.02126300965063166,0.013299136536059297,,-0.011674301439395407,0.014381090693664778,0.04184748648063108,,,,-0.18015566862632193,1
2018-02-05,5.283023357391357,5.765837561240878,5.067944528466754,5.611821690864884,1165204000,21.925427937107717,39.03443515863617,45.72384093279772,19.652178915993712,48.130476028574144,0.42824780755252634,37.31999969482422,1.6965317401276105,1.8374833429206516,-0.045342300792029944,0.04483425002518093,45,-0.07593771460074683,,,-0.08307416641223098,-0.0665348139064974,,-0.10016529037983035,-0.07220062360481394,-0.04244205969052739,,,,-0.4698012002096752,1
