Date,Close,High,Low,Open,Volume,RSI_6,RSI_14,RSI_23,MA_20,MA_50,MA_100,MA_200,EMA_8,EMA_21,EMA_34,EMA_55,EMA_89,KC_upper,KC_middle,KC_lower,OBV,MACD,MACD_signal,MACD_hist,Stoch_K,Stoch_D,Ticker
2018-01-02,10.979999542236328,11.020000457763672,10.34000015258789,10.420000076293945,44146300,,,,,,,,,,,,,11.460000356038412,,10.09999974568685,44146300,,,,,,AMD
2018-01-03,11.550000190734863,12.140000343322754,11.359999656677246,11.609999656677246,154066700,,,,,,,,,,,,,11.961667219797771,,10.501666227976482,198213000,,,,,,AMD
2018-01-04,12.119999885559082,12.430000305175781,11.970000267028809,12.100000381469727,109503000,,,,,,,,,,,,,12.185555987887914,,10.905555301242407,307716000,,,,,,AMD
2018-01-05,11.880000114440918,12.220000267028809,11.65999984741211,12.1899995803833,63808900,,,,,,,,,,,,,12.259167114893597,,11.019166390101116,243907100,,,,,,AMD
2018-01-08,12.279999732971191,12.300000190734863,11.850000381469727,12.010000228881836,63346000,,,,,,,,,,,,,12.326000340779624,,11.153999837239585,307253100,,,,,,AMD
2018-01-09,11.819999694824219,12.020000457763672,11.710000038146973,12.0,62560900,59.950885370529186,,,,,,,,,,,,12.298333697848848,,11.218333138359917,244692200,,,,,,AMD
2018-01-10,11.960000038146973,12.149999618530273,11.5600004196167,11.630000114440918,52561200,63.8338952158346,,,,,,,,,,,,12.324285915919713,,11.229999950953893,297253400,,,,,,AMD
2018-01-11,12.140000343322754,12.1899995803833,11.899999618530273,12.069999694824219,38354900,68.53998194376695,,,,,,,11.82934361156629,,,,,12.329583485921225,,11.299583276112875,335608300,,,,,,AMD
2018-01-12,12.020000457763672,12.069999694824219,11.800000190734863,11.819999694824219,47149300,62.07774390070306,,,,,,,11.871711799610154,,,,,12.318888982137045,,11.343333350287544,288459000,,,,,,AMD
2018-01-16,11.90999984741211,12.199999809265137,11.800000190734863,12.050000190734863,42686600,56.24444645688405,,,,,,,11.880220254677255,,,,,12.324000040690105,,11.3660000483195,245772400,,,,,,AMD
2018-01-17,12.180000305175781,12.1899995803833,11.819999694824219,11.899999618530273,39020800,65.72966255021322,,,,,,,11.946838043676928,,,,,12.333939407811021,,11.395757617372455,284793200,,,,,,AMD
2018-01-18,12.470000267028809,12.680000305175781,12.149999618530273,12.180000305175781,62086200,73.21377421548283,,,,,,,12.063096315532901,,,,,12.386388964123197,,11.43805554178026,346879400,,,,,,AMD
2018-01-19,12.59000015258789,12.880000114440918,12.539999961853027,12.5600004196167,46800700,75.8342834374701,,,,,,,12.180186057100675,,,,,12.434359061412323,,11.506666648082245,393680100,,,,,,AMD
2018-01-22,12.649999618530273,12.739999771118164,12.369999885559082,12.609999656677246,34758600,77.1741132127359,74.13133977893939,,,,,,12.284589070751698,,,,,12.471666722070603,,11.557380926041375,428438700,,,,90.94486222972813,,AMD
2018-01-23,12.9399995803833,13.0,12.760000228881836,12.819999694824219,46417200,82.72826472357947,77.53479282495493,,,,,,12.430235850669831,,,,,12.516222254435222,,11.630888875325521,474855900,,,,96.34143859414479,,AMD
2018-01-24,12.710000038146973,13.050000190734863,12.600000381469727,13.020000457763672,41956400,67.17248584494874,69.7021922720752,,,,,,12.492405670109196,,,,,12.561250030994415,,11.675000011920929,432899500,,,,77.18119430765154,88.15583171050815,AMD
2018-01-25,12.40999984741211,12.9399995803833,12.319999694824219,12.779999732971191,42966600,51.898063234991334,61.04043148415219,,,,,,12.4740932650654,,,,,12.597450985628015,,11.690392157610725,389932900,,,,57.04695022587364,76.85652770922333,AMD
2018-01-26,12.949999809265137,12.949999809265137,12.619999885559082,12.699999809265137,44239000,67.74202846419678,68.60349763572208,,,,,,12.579850274887564,,,,,12.629259250782154,,11.735925921687373,434171900,,,,93.28856397107486,75.83890283486669,AMD
2018-01-29,13.319999694824219,13.470000267028809,13.050000190734863,13.130000114440918,66645400,74.61653251780936,72.53735546445844,,,,,,12.744327923762375,,,,,12.685614033749228,,11.795087713944284,500817300,,,,92.14656627288069,80.82736015660974,AMD
2018-01-30,12.869999885559082,13.270000457763672,12.6899995803833,13.119999885559082,91236400,56.91462141650791,62.31147228641447,,12.287499952316285,,,,12.772255026383867,,,,,12.727500041325886,,11.823499949773153,409580900,,,,68.58636495271573,84.67383173222376,AMD
2018-01-31,13.739999771118164,13.850000381469727,13.149999618530273,13.239999771118164,140977800,72.21003452669804,70.86348385749955,,12.425499963760377,,,,12.987309414102599,12.431250156601667,,,,12.801428643483964,12.337619039747452,11.873809436010935,550558700,,,,94.63411706746571,85.12234943102071,AMD
2018-02-01,13.25,13.84000015258789,13.210000038146973,13.619999885559082,67543300,58.237065176467134,62.29032155900223,,12.510499954223633,,,,13.045685099857577,12.505681960546971,,,,12.925396888975115,12.463968246702162,12.002539604429213,483015400,,,,70.73169143195814,77.98405781737985,AMD
2018-02-02,12.449999809265137,13.0600004196167,12.430000305175781,13.050000190734863,79432600,42.227969172249786,51.36436714809883,54.43512415268974,12.526999950408936,,,,12.913310590837035,12.500619946794076,,,,12.964127025907002,12.509841268024745,12.055555510142492,403582800,,,,31.707295514800325,65.69103467140806,AMD
2018-02-05,11.569999694824219,12.180000305175781,10.930000305175781,12.050000190734863,116568900,30.984777886132235,42.52770788935172,46.634531109610876,12.511499929428101,,,,12.614797058389744,12.416018105705907,,,,12.972539720081148,12.480634916396369,11.988730112711588,287013900,,,,21.917786744057988,41.45225789693882,AMD
2018-02-06,11.649999618530273,11.739999771118164,11.0,11.039999961853027,87123200,32.93277291681247,43.47967586452772,47.35157507630512,12.479999923706055,,,,12.40039762730986,12.346380061417214,,,,12.959365072704497,12.45888887132917,11.958412669953846,374137100,,,,24.657510087065237,26.094197448641182,AMD
2018-02-07,11.600000381469727,11.899999618530273,11.529999732971191,11.699999809265137,55758400,32.250074758845486,43.00028075443094,46.939475047907806,12.46899995803833,,,,12.22253157267872,12.278527363240169,,,,12.933333321223182,12.436666640024338,11.93999995882549,318378700,0.1218241594481988,,,22.945207492744565,23.173501441289265,AMD
2018-02-08,11.220000267028809,11.850000381469727,11.210000038146973,11.720000267028809,56471800,27.122303945677317,39.441014984058974,43.90353487773007,12.431999969482423,,,,11.999746838089852,12.182297627220954,,,,12.928888881017293,12.416507917737203,11.904126954457116,261906900,0.024510694319143767,,,9.931505283420895,19.178074287743566,AMD
2018-02-09,11.3100004196167,11.569999694824219,10.630000114440918,11.539999961853027,85458200,30.273229868024416,40.69311336654682,44.787744311894855,12.39049997329712,,,,11.84646985620693,12.102997881075114,,,,12.9112698539855,12.382222205873521,11.85317455776154,347365100,-0.04483187381562992,,,21.118020148589554,17.998244308251675,AMD
2018-02-12,11.680000305175781,11.800000190734863,11.430000305175781,11.470000267028809,63160900,42.531123666225746,45.66669255356727,48.290829655335656,12.373499965667724,,,,11.809476622644453,12.064543555993357,,,,12.894127013191342,12.361269844902887,11.828412676614429,410526000,-0.06913353178185666,,,32.608698871436125,21.219408101148858,AMD
2018-02-13,11.779999732971191,11.819999694824219,11.529999732971191,11.600000381469727,33661400,45.63100306502798,46.96129793299155,49.20151236373806,12.366999959945678,,,,11.802926202717062,12.038675935718613,,,,12.88301590510777,12.349206334068661,11.815396763029552,444187400,-0.07940828344941586,,,35.71427090567955,29.813663308568408,AMD
2018-02-14,12.199999809265137,12.3100004196167,11.630000114440918,11.720000267028809,51756800,57.25237043089613,52.12130296667119,52.84785896445934,12.367999935150147,,,,11.891164781949968,12.053341742404662,,,,12.9000000726609,12.352857135591053,11.805714198521205,495944200,-0.05304908526865049,,,48.757750454253994,39.02690674378989,AMD
2018-02-15,12.1899995803833,12.630000114440918,12.069999694824219,12.399999618530273,59593800,56.90483674385476,51.991604240746426,52.75359949544615,12.353999900817872,,,,11.957572514935153,12.065765182220902,,,,12.920158825223409,12.363968243674625,11.807777662125844,436350400,-0.03259048289801392,,,48.44718436566595,44.30640190853316,AMD
2018-02-16,11.819999694824219,12.229999542236328,11.819999694824219,12.109999656677246,47332300,44.82422075784075,47.30160614347517,49.34895069978198,12.315499877929687,,,,11.927000777132724,12.043422865184839,,,,12.891746066865467,12.341269810994467,11.790793555123466,389018100,-0.04570592224883008,,,36.95650564281938,44.720480154246445,AMD
2018-02-20,12.020000457763672,12.1899995803833,11.710000038146973,11.720000267028809,47096500,51.502580874748645,49.930812872292094,51.13127388793613,12.283999919891357,,,,11.94766737282849,12.041293555419278,11.981785188788207,,,12.86523809887114,12.308095205397834,11.750952311924525,436114600,-0.03950620934334381,-0.016737585232809625,-0.022768624110534187,43.1677089457309,42.85713298473875,AMD
2018-02-21,11.720000267028809,12.119999885559082,11.720000267028809,12.119999885559082,40195800,42.289149004509156,46.20682668272863,48.45732862511956,12.222999954223633,,,,11.897074682650784,12.012085074656508,11.966826050401956,,,12.831746040828643,12.273174588642425,11.714603136456203,395918800,-0.0581303103524462,-0.025016130256736942,-0.03311418009570926,33.95639064282105,38.02686841045711,AMD
2018-02-22,11.84000015258789,12.0,11.630000114440918,11.819999694824219,37886300,46.852809172188614,47.88129534100607,49.56039596171999,12.179499959945678,,,,11.884391453747918,11.996440990832088,11.959578856241151,,,12.786666688464937,12.221904754638672,11.657142820812407,433805100,-0.06248674835939383,-0.032510253877268316,-0.029976494482125512,49.79423399946626,42.30611119600607,AMD
2018-02-23,12.069999694824219,12.15999984741211,11.9399995803833,11.949999809265137,33317600,55.03162452030043,51.02781305049682,51.634461262414646,12.162499952316285,,,,11.925637729542652,12.003128145740463,11.965888618445899,,,12.740952400934129,12.187142826261974,11.633333251589821,467122700,-0.04684027051282946,-0.03537625720438055,-0.011464013308448914,71.99997901916504,51.91686788715078,AMD
2018-02-26,12.420000076293945,12.430000305175781,12.050000190734863,12.140000343322754,42265200,64.89635271265894,55.43680325462759,54.604167192750516,12.135999965667725,,,,12.035496028820718,12.041025593972599,11.991837844608645,,,12.717301641191755,12.174920627049037,11.632539612906319,509387900,-0.00612758341593711,-0.029526522446691864,0.023398939030754753,89.49999809265137,70.43140370376089,AMD
2018-02-27,12.529999732971191,12.880000114440918,12.390000343322754,12.430000305175781,55975300,67.57868517879028,56.75456648607481,55.50189950321514,12.096499967575074,,,,12.145385740854158,12.085477788427015,12.022589952515077,,,12.713492121015276,12.1634920665196,11.613492012023926,565363200,0.03461455240250011,-0.01669830747685347,0.05131285987935358,84.44442749023438,81.9814682006836,AMD
2018-02-28,12.109999656677246,12.729999542236328,12.100000381469727,12.65999984741211,43387500,50.054352254453505,50.6018087895971,51.4411627190267,12.058499956130982,,,,12.137522166592621,12.087707049177036,12.027584792752915,,,12.677460322304377,12.117460311405242,11.557460300506108,521975700,0.032636281759280905,-0.006831389629626594,0.0394676713889075,65.77775743272569,79.90739433853715,AMD
2018-03-01,11.899999618530273,12.270000457763672,11.65999984741211,12.260000228881836,63207400,43.31495743477936,47.81086985353835,49.54627634435293,11.966499948501587,,,,12.084739378134321,12.070642737300057,12.020294211368764,,,12.631269833398242,12.069841263786195,11.508412694174146,458768300,0.013962291383105452,-0.0026726534270801855,0.016634944810185636,56.44442240397135,68.88886910897715,AMD
2018-03-02,11.8100004196167,11.930000305175781,11.430000305175781,11.670000076293945,58123500,40.50990614076875,46.62401418318195,48.741827138797696,11.894499969482421,,,,12.023686276241516,12.046947981147024,12.008277423268646,,,12.533333309113035,11.981428585355244,11.429523861597456,400644800,-0.008006865564361476,-0.003739495854536444,-0.004267369709825032,26.20690789149158,49.476362576062876,AMD
2018-03-05,11.90999984741211,12.0600004196167,11.609999656677246,11.6899995803833,43734800,45.23836323664459,48.163757512308614,49.690682591761274,11.86749997138977,,,,11.998422625390536,12.034498150807487,12.002661561791129,,,12.4498412722633,11.906507946196056,11.363174620128813,444379600,-0.017150759353604883,-0.006421748554350132,-0.01072901079925475,33.10342106042021,38.584917118627715,AMD
2018-03-06,11.760000228881836,12.050000190734863,11.710000038146973,12.010000228881836,46751200,39.57619554280406,46.01928911448289,48.288895666952975,11.876999998092652,,,,11.945439870610825,12.00954379426879,11.988795199910598,,,12.397619050646586,11.868095246572343,11.3385714424981,397628400,-0.03608510999028525,-0.012354420841537157,-0.02373068914874809,22.758618421701684,27.35631579120449,AMD
2018-03-07,12.239999771118164,12.819999694824219,11.550000190734863,11.579999923706055,127603200,59.19038166042394,53.20018711682101,52.74833239324964,11.906500005722046,,,,12.010897626279123,12.030494337618734,12.003149746836744,,,12.429206318325466,11.898730156913636,11.368253995501806,525231600,-0.01221792709145042,-0.012327122091519812,0.00010919500006939184,55.862039482121894,37.24135965474793,AMD
2018-03-08,11.970000267028809,12.59000015258789,11.739999771118164,12.399999618530273,76011200,48.552056810495884,49.23282584930789,50.20239383496649,11.925,,,,12.001809324223498,12.024994876656013,12.001255490847718,,,12.46476191566104,11.929047629946755,11.393333344232468,449220400,-0.014917753612692763,-0.012845248395754403,-0.00207250521693836,37.241381578298316,38.62067982737397,AMD
2018-03-09,11.699999809265137,12.039999961853027,11.579999923706055,12.029999732971191,89674400,39.938269718524566,45.572828344847196,47.790873957403065,11.948999977111816,,,,11.93474054312164,11.99544987052957,11.98404088047157,,,12.47365081121051,11.933650803944422,11.393650796678331,359546000,-0.0384014974767215,-0.017956498211947825,-0.020444999264773677,18.620657903823577,37.24135965474793,AMD
2018-03-12,11.520000457763672,11.819999694824219,11.479999542236328,11.760000228881836,83748700,34.97435911608298,43.26373667152931,46.24269503062066,11.959499979019165,,,,11.842576079708758,11.952227196641761,11.957524284888262,,,12.467936500670419,11.942222216772656,11.416507932874893,275797300,-0.07072174082356497,-0.028509546734271255,-0.04221219408929372,6.206907891491579,20.689649124537826,AMD
