series,date,release_id,release_name,tier
Claims,2022-03-24,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-03-31,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-04-07,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-04-14,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-04-21,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-04-28,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-05-05,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-05-12,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-05-19,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-05-26,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-06-02,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-06-09,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-06-16,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-06-23,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-06-30,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-07-07,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-07-14,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-07-21,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-07-28,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-08-04,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-08-11,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-08-18,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-08-25,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-09-01,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-09-08,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-09-15,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-09-22,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-09-29,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-10-06,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-10-13,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-10-20,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-10-27,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-11-03,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-11-10,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-11-17,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-11-23,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-12-01,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-12-08,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-12-15,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-12-22,180,Unemployment Insurance Weekly Claims Report,2
Claims,2022-12-29,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-01-05,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-01-12,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-01-19,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-01-26,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-02-02,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-02-09,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-02-16,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-02-23,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-03-02,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-03-09,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-03-16,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-03-23,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-03-30,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-04-06,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-04-13,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-04-20,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-04-27,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-05-04,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-05-11,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-05-18,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-05-25,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-06-01,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-06-08,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-06-15,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-06-22,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-06-29,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-07-06,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-07-13,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-07-20,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-07-27,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-08-03,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-08-10,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-08-17,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-08-24,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-08-31,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-09-07,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-09-14,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-09-21,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-09-28,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-10-05,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-10-12,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-10-19,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-10-26,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-11-02,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-11-09,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-11-16,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-11-22,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-11-30,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-12-07,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-12-14,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-12-21,180,Unemployment Insurance Weekly Claims Report,2
Claims,2023-12-28,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-01-04,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-01-11,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-01-18,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-01-25,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-02-01,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-02-08,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-02-15,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-02-22,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-02-29,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-03-07,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-03-14,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-03-21,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-03-28,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-04-04,180,Unemployment Insurance Weekly Claims Report,2
Claims,2024-04-11,180,Unemployment Insurance Weekly Claims Report,2
